city,time,temperature,apparent temperature,relative humidity,precipitation,dewpoint,freeing level,pressure
Rome,2021-11-04T00:00,17.5,17.8,95,1.93,16.6,3204,1003.2
Rome,2021-11-04T01:00,17.0,16.2,84,0.3,14.2,3092,1004.2
Rome,2021-11-04T02:00,16.6,15.8,82,0.03,13.4,3010,1005.2
Rome,2021-11-04T03:00,16.6,16.3,82,0.0,13.5,2990,1005.7
Rome,2021-11-04T04:00,16.6,16.1,80,0.07,13.1,2712,1005.7
Rome,2021-11-04T05:00,16.1,15.6,82,0.15,12.9,2484,1006.7
Rome,2021-11-04T06:00,15.9,14.6,72,0.0,10.9,2404,1007.2
Rome,2021-11-04T07:00,14.9,13.9,76,0.0,10.6,2310,1008.2
Rome,2021-11-04T08:00,15.0,14.2,76,0.0,10.8,2232,1009.2
Rome,2021-11-04T09:00,15.9,15.2,74,0.0,11.3,2202,1010.7
Rome,2021-11-04T10:00,16.8,15.4,68,0.0,10.7,2208,1010.7
Rome,2021-11-04T11:00,17.1,15.5,64,0.0,10.1,2278,1011.7
Rome,2021-11-04T12:00,17.4,15.7,62,0.0,10.0,2256,1011.7
Rome,2021-11-04T13:00,17.6,16.0,61,0.0,9.9,2256,1011.7
Rome,2021-11-04T14:00,17.8,16.2,61,0.0,10.0,2256,1011.2
Rome,2021-11-04T15:00,17.8,16.3,60,0.0,9.9,2282,1011.7
Rome,2021-11-04T16:00,17.4,16.0,61,0.0,9.8,2230,1011.7
Rome,2021-11-04T17:00,16.7,15.9,66,0.0,10.2,2218,1012.2
Rome,2021-11-04T18:00,15.7,15.5,73,0.0,10.7,2254,1012.2
Rome,2021-11-04T19:00,15.1,15.3,77,0.0,10.8,2380,1013.2
Rome,2021-11-04T20:00,14.4,14.2,78,0.0,10.6,2514,1013.2
Rome,2021-11-04T21:00,13.4,13.2,83,0.0,10.6,2550,1013.7
Rome,2021-11-04T22:00,12.6,12.3,88,0.0,10.6,2548,1013.7
Rome,2021-11-04T23:00,12.1,11.6,90,0.0,10.5,2628,1013.7
Rome,2021-11-05T00:00,11.8,11.3,89,0.0,10.1,2554,1013.2
Rome,2021-11-05T01:00,11.4,10.9,89,0.0,9.8,2502,1013.7
Rome,2021-11-05T02:00,11.3,10.5,89,0.0,9.6,2408,1013.7
Rome,2021-11-05T03:00,11.2,10.5,89,0.0,9.5,2428,1013.2
Rome,2021-11-05T04:00,11.1,10.4,88,0.0,9.3,2378,1013.2
Rome,2021-11-05T05:00,11.3,10.3,85,0.0,8.9,2446,1013.2
Rome,2021-11-05T06:00,11.2,10.2,84,0.0,8.7,2458,1013.2
Rome,2021-11-05T07:00,11.2,10.2,85,0.0,8.8,2480,1013.2
Rome,2021-11-05T08:00,11.6,10.6,86,0.35,9.2,2478,1013.7
Rome,2021-11-05T09:00,12.3,11.4,82,0.06,9.3,2466,1014.2
Rome,2021-11-05T10:00,12.7,12.0,83,0.75,9.6,2474,1014.2
Rome,2021-11-05T11:00,12.8,12.2,81,1.62,9.7,2478,1014.2
Rome,2021-11-05T12:00,13.0,12.1,80,1.34,9.6,2410,1014.2
Rome,2021-11-05T13:00,13.7,12.7,78,0.02,9.9,2610,1013.7
Rome,2021-11-05T14:00,14.2,13.0,75,0.07,9.8,2610,1012.7
Rome,2021-11-05T15:00,13.6,12.7,82,0.63,10.6,2582,1012.7
Rome,2021-11-05T16:00,13.3,12.9,89,1.88,11.4,2580,1012.7
Rome,2021-11-05T17:00,13.1,13.0,91,2.1,11.7,2598,1013.2
Rome,2021-11-05T18:00,13.0,12.7,92,0.75,11.7,2636,1013.2
Rome,2021-11-05T19:00,12.8,12.7,93,0.12,11.7,2554,1013.7
Rome,2021-11-05T20:00,12.7,12.5,94,1.09,11.7,2592,1013.2
Rome,2021-11-05T21:00,12.7,12.7,94,0.26,11.6,2616,1013.7
Rome,2021-11-05T22:00,12.6,12.4,94,0.25,11.6,2566,1013.7
Rome,2021-11-05T23:00,12.4,12.2,96,0.12,11.5,2530,1014.2
Rome,2021-11-06T00:00,12.3,12.4,98,0.11,11.5,2486,1014.7
Rome,2021-11-06T01:00,12.4,12.5,98,0.0,11.8,2492,1014.7
Rome,2021-11-06T02:00,12.5,12.7,96,0.01,11.8,2616,1015.2
Rome,2021-11-06T03:00,12.2,12.2,97,0.0,11.3,2614,1015.2
Rome,2021-11-06T04:00,11.8,11.7,97,0.0,10.8,2568,1016.2
Rome,2021-11-06T05:00,11.5,11.4,98,0.0,10.5,2550,1016.7
Rome,2021-11-06T06:00,11.4,11.2,98,0.01,10.4,2580,1017.2
Rome,2021-11-06T07:00,11.2,10.9,98,0.0,10.3,2688,1017.2
Rome,2021-11-06T08:00,11.7,11.4,94,0.01,10.6,2774,1018.2
Rome,2021-11-06T09:00,13.4,13.1,86,0.0,11.0,2780,1018.7
Rome,2021-11-06T10:00,15.8,15.5,77,0.0,11.7,2814,1018.7
Rome,2021-11-06T11:00,17.7,17.3,70,0.0,12.2,2846,1018.7
Rome,2021-11-06T12:00,19.0,18.7,66,0.0,12.4,2834,1018.2
Rome,2021-11-06T13:00,19.7,19.2,64,0.0,12.6,2924,1017.2
Rome,2021-11-06T14:00,19.9,19.4,61,0.0,12.3,2864,1016.7
Rome,2021-11-06T15:00,19.5,18.5,60,0.12,11.6,2900,1016.7
Rome,2021-11-06T16:00,18.8,18.0,64,0.0,11.8,2850,1016.2
Rome,2021-11-06T17:00,17.9,17.2,64,0.0,11.1,2878,1016.2
Rome,2021-11-06T18:00,17.0,16.4,69,0.0,11.5,3006,1016.2
Rome,2021-11-06T19:00,16.1,16.0,79,0.61,12.5,3018,1016.7
Rome,2021-11-06T20:00,15.7,15.1,78,0.34,11.9,3036,1016.2
Rome,2021-11-06T21:00,15.3,14.5,82,0.6,12.1,3052,1015.7
Rome,2021-11-06T22:00,14.7,13.6,86,1.13,12.2,3080,1015.2
Rome,2021-11-06T23:00,14.2,13.0,88,1.21,12.1,3168,1015.2
Rome,2021-11-07T00:00,14.0,12.6,89,1.3,12.1,3144,1014.7
Rome,2021-11-07T01:00,13.8,12.1,89,1.88,11.9,3144,1014.2
Rome,2021-11-07T02:00,13.9,12.3,87,0.19,11.6,3152,1013.2
Rome,2021-11-07T03:00,14.0,12.2,85,0.0,11.3,3164,1012.7
Rome,2021-11-07T04:00,14.2,12.4,82,0.0,10.9,3164,1012.2
Rome,2021-11-07T05:00,14.4,12.9,79,0.0,10.7,3172,1012.7
Rome,2021-11-07T06:00,14.4,13.1,77,0.0,10.4,3248,1012.7
Rome,2021-11-07T07:00,14.3,13.1,76,0.0,10.3,3320,1013.7
Rome,2021-11-07T08:00,14.7,13.5,74,0.0,10.2,3354,1014.2
Rome,2021-11-07T09:00,16.4,15.1,68,0.0,10.6,3366,1014.2
Rome,2021-11-07T10:00,18.2,16.8,63,0.0,11.1,3382,1014.2
Rome,2021-11-07T11:00,19.9,18.8,58,0.0,11.7,3368,1014.2
Rome,2021-11-07T12:00,21.3,20.4,55,0.0,12.0,3398,1013.7
Rome,2021-11-07T13:00,22.2,21.9,58,0.0,13.3,3370,1013.2
Rome,2021-11-07T14:00,22.4,22.4,58,0.01,13.7,3340,1013.2
Rome,2021-11-07T15:00,22.2,22.5,59,0.01,14.0,3296,1012.7
Rome,2021-11-07T16:00,21.6,22.0,62,0.01,14.2,3250,1012.7
Rome,2021-11-07T17:00,20.7,21.2,65,0.02,14.0,3234,1012.7
Rome,2021-11-07T18:00,19.5,20.0,69,0.02,13.8,3226,1012.7
Rome,2021-11-07T19:00,18.2,18.7,75,0.02,13.5,3222,1013.2
